year,state_abbreviation,stage,special,candidate_name,party_detailed,party_simplified,writein,total_votes,votes,percent_votes,won
1980,IN,gen,0,BIRCH BAYH,DEMOCRAT,DEMOCRAT,0,2198376,1015962,46.21420539525541,0
1980,IN,gen,0,DAN QUAYLE,REPUBLICAN,REPUBLICAN,0,2198376,1182414,53.785794604744595,1
1980,IA,gen,0,CHARLES E. GRASSLEY,REPUBLICAN,REPUBLICAN,0,1276986,683014,53.48641253702077,1
1980,IA,gen,0,GARRY DE YOUNG,BY PETITION,OTHER,0,1276986,5858,0.4587364309397284,0
1980,IA,gen,0,JOHN CULVER,DEMOCRAT,DEMOCRAT,0,1276986,581545,45.540436621858035,0
1980,IA,gen,0,JOHN INGRAM HENDERSON,BY PETITION,OTHER,0,1276986,2336,0.18293074473800028,0
1980,IA,gen,0,ROBERT V. HENGERER,LIBERTARIAN,LIBERTARIAN,0,1276986,4233,0.3314836654434739,0
1980,KS,gen,0,BOB DOLE,REPUBLICAN,REPUBLICAN,0,938957,598686,63.76074729726707,1
1980,KS,gen,0,JOHN SIMPSON,DEMOCRAT,DEMOCRAT,0,938957,340271,36.23925270273293,0
1980,KY,gen,0,MARY LOUISE FOUST,REPUBLICAN,REPUBLICAN,0,1106920,386029,34.87415531384382,0
1980,KY,gen,0,WENDELL H. FORD,DEMOCRAT,DEMOCRAT,0,1106920,720891,65.12584468615617,1
1980,LA,gen,0,JERRY C. BARDWELL,REPUBLICAN,REPUBLICAN,0,841013,13739,1.6336251639392019,0
1980,LA,gen,0,LOUIS WOODY JENKINS,DEMOCRAT,DEMOCRAT,0,841013,325922,38.753503215764795,0
1980,LA,gen,0,NAOMI BRACEY,NO PARTY,OTHER,0,841013,6374,0.757895537881103,0
1980,LA,gen,0,ROBERT MAX ROSS,REPUBLICAN,REPUBLICAN,0,841013,10208,1.2137743411814086,0
1980,LA,gen,0,RUSSELL B. LONG,DEMOCRAT,DEMOCRAT,0,841013,484770,57.64120174123348,1
1980,MD,gen,0,CHARLES MCC. MATHIAS JR.,REPUBLICAN,REPUBLICAN,0,1286088,850970,66.16732292036004,1
1980,MD,gen,0,EDWARD T. CONROY,DEMOCRAT,DEMOCRAT,0,1286088,435118,33.832677079639964,0
1980,MO,gen,0,GENE MCNARY,REPUBLICAN,REPUBLICAN,0,2066965,985399,47.673714842776725,0
1980,MO,gen,0,MARTHA PETTIS,SOCIALIST WORKERS,OTHER,0,2066965,6707,0.3244854170244779,0
1980,MO,gen,0,THOMAS F. EAGLETON,DEMOCRAT,DEMOCRAT,0,2066965,1074859,52.0017997401988,1
1980,NV,gen,0,ALLEN HACKER,LIBERTARIAN,LIBERTARIAN,0,243273,6920,2.8445409067179668,0
1980,NV,gen,0,MARY GOJACK,DEMOCRAT,DEMOCRAT,0,243273,92129,37.87062271604329,0
